Date,Amount,Description
2026-04-10,250.00,Uber Ride to office
2026-04-11,450.00,Starbucks coffee and sandwich
2026-04-12,1200.00,Bigbasket groceries monthly
2026-04-13,649.00,Netflix premium subscription
2026-04-14,3500.00,Electricity bill BSES
2026-04-15,850.00,Zomato dinner delivery
2026-04-16,150.00,Pharmacy meds Apollo 1mg
2026-04-17,4000.00,Flight tickets MakeMyTrip
2026-04-18,120.00,Jio mobile recharge
2026-04-19,3000.00,H&M shopping
2026-04-20,1500.00,Urban Company home cleaning
2026-04-21,500.00,Zerodha sip investment
